,Ship Name,Record Group,Entry Number,Box or Volume Number,Digital Directory,Start Date,End Date,Assets,Number of Images,Number of Pages,NARA URL,Geographic Focus
1998,JAMESTOWN,24.0,118,Volume 42 of 67,vol042of067,11/13/1879,05/30/1880,1,207,413,http://research.archives.gov/description/7284469,Arctic
1999,JAMESTOWN,24.0,118,Volume 43 of 67,vol043of067,05/31/1880,12/12/1880,1,204,407,http://research.archives.gov/description/7284470,Arctic
2000,JAMESTOWN,24.0,118,Volume 44 of 67,vol044of067,12/13/1880,06/16/1881,1,195,389,http://research.archives.gov/description/7284471,Arctic
2001,JAMESTOWN,24.0,118,Volume 45 of 67,vol045of067,06/17/1881,09/21/1881,1,110,219,http://research.archives.gov/description/7284472,Arctic
2002,JAMESTOWN,24.0,118,Volume 46 of 67,vol046of067,02/14/1882,08/20/1882,1,199,379,http://research.archives.gov/description/7284473,Arctic
2003,JAMESTOWN,24.0,118,Volume 47 of 67,vol047of067,02/14/1882,08/31/1882,1,212,422,http://research.archives.gov/description/7284474,Arctic
2004,JAMESTOWN,24.0,118,Volume 48 of 67,vol048of067,08/21/1882,02/12/1883,1,240,479,http://research.archives.gov/description/7284475,Arctic
2005,JAMESTOWN,24.0,118,Volume 49 of 67,vol049of067,09/01/1882,09/14/1882,1,27,52,http://research.archives.gov/description/7284476,Arctic
2006,JAMESTOWN,24.0,118,Volume 50 of 67,vol050of067,02/13/1883,08/18/1883,1,248,495,http://research.archives.gov/description/7284477,Arctic
2007,JAMESTOWN,24.0,118,Volume 51 of 67,vol051of067,08/19/1883,02/17/1884,1,297,593,http://research.archives.gov/description/7284478,Arctic
2008,JAMESTOWN,24.0,118,Volume 52 of 67,vol052of067,02/18/1884,08/24/1884,1,286,571,http://research.archives.gov/description/7284479,Arctic
2009,JAMESTOWN,24.0,118,Volume 53 of 67,vol053of067,08/25/1884,02/25/1885,1,244,487,http://research.archives.gov/description/7284480,Arctic
2010,JAMESTOWN,24.0,118,Volume 54 of 67,vol054of067,02/26/1885,09/03/1885,1,217,433,http://research.archives.gov/description/7284481,Arctic
2011,JAMESTOWN,24.0,118,Volume 55 of 67,vol055of067,09/04/1885,03/12/1886,1,221,441,http://research.archives.gov/description/7284482,Arctic
2012,JAMESTOWN,24.0,118,Volume 56 of 67,vol056of067,03/13/1886,09/15/1886,1,212,423,http://research.archives.gov/description/7284483,Arctic
2013,JAMESTOWN,24.0,118,Volume 57 of 67,vol057of067,09/16/1886,03/24/1887,1,227,453,http://research.archives.gov/description/7284484,Arctic
2014,JAMESTOWN,24.0,118,Volume 58 of 67,vol058of067,03/25/1887,09/24/1887,1,200,399,http://research.archives.gov/description/7284485,Arctic
2015,JAMESTOWN,24.0,118,Volume 59 of 67,vol059of067,09/25/1887,03/24/1888,1,200,399,http://research.archives.gov/description/7284486,Arctic
2016,JAMESTOWN,24.0,118,Volume 60 of 67,vol060of067,03/25/1888,08/31/1888,1,174,347,http://research.archives.gov/description/7284487,Arctic
2017,JAMESTOWN,24.0,118,Volume 61 of 67,vol061of067,04/13/1889,10/12/1889,1,200,399,http://research.archives.gov/description/7284488,Arctic
2018,JAMESTOWN,24.0,118,Volume 62 of 67,vol062of067,10/13/1889,04/13/1890,1,196,391,http://research.archives.gov/description/7284489,Arctic
2019,JAMESTOWN,24.0,118,Volume 63 of 67,vol063of067,04/13/1890,10/12/1890,1,204,407,http://research.archives.gov/description/7284490,Arctic
2020,JAMESTOWN,24.0,118,Volume 64 of 67,vol064of067,10/13/1890,04/22/1891,1,208,415,http://research.archives.gov/description/7284491,Arctic
2021,JAMESTOWN,24.0,118,Volume 65 of 67,vol065of067,04/23/1891,10/25/1891,1,204,407,http://research.archives.gov/description/7284492,Arctic
2022,JAMESTOWN,24.0,118,Volume 66 of 67,vol066of067,10/26/1891,04/28/1892,1,253,505,http://research.archives.gov/description/7284493,Arctic
2023,JAMESTOWN,24.0,118,Volume 67 of 67,vol067of067,04/29/1892,09/06/1892,1,217,433,http://research.archives.gov/description/7284494,Arctic
